2025-08-12 00:47:57,712 - INFO - 🔍 Scanning directory: C:\Downloads\Project_Alpha\data

2025-08-12 00:47:57,714 - INFO - 📄 Processing file: begin_inventory.csv
2025-08-12 00:47:57,716 - INFO - 📥 Starting ingestion: C:\Downloads\Project_Alpha\data\begin_inventory.csv
2025-08-12 00:48:23,989 - INFO - ✅ Chunk 86 into 'purchases' → Rows: 10000, Mem: 147.18 MB
2025-08-12 00:48:24,132 - INFO - ✅ Chunk 87 into 'purchases' → Rows: 10000, Mem: 146.17 MB
2025-08-12 00:48:24,281 - INFO - ✅ Chunk 88 into 'purchases' → Rows: 10000, Mem: 145.19 MB
2025-08-12 00:48:24,429 - INFO - ✅ Chunk 89 into 'purchases' → Rows: 10000, Mem: 150.42 MB
2025-08-12 00:48:24,567 - INFO - ✅ Chunk 90 into 'purchases' → Rows: 10000, Mem: 149.5 MB
2025-08-12 00:48:24,763 - INFO - ✅ Chunk 91 into 'purchases' → Rows: 10000, Mem: 149.43 MB
2025-08-12 00:48:24,905 - INFO - ✅ Chunk 92 into 'purchases' → Rows: 10000, Mem: 149.11 MB
2025-08-12 00:48:25,045 - INFO - ✅ Chunk 93 into 'purchases' → Rows: 10000, Mem: 151.1 MB
2025-08-12 00:48:25,181 - INFO - ✅ Chunk 94 into 'purchases' → Rows: 10000, Mem: 149.77 MB
2025-08-12 00:48:25,313 - INFO - ✅ Chunk 95 into 'purchases' → Rows: 10000, Mem: 151.11 MB
2025-08-12 00:48:25,443 - INFO - ✅ Chunk 96 into 'purchases' → Rows: 10000, Mem: 151.78 MB
2025-08-12 00:48:25,584 - INFO - ✅ Chunk 97 into 'purchases' → Rows: 10000, Mem: 150.48 MB
2025-08-12 00:48:25,721 - INFO - ✅ Chunk 98 into 'purchases' → Rows: 10000, Mem: 152.01 MB
2025-08-12 00:48:25,853 - INFO - ✅ Chunk 99 into 'purchases' → Rows: 10000, Mem: 145.9 MB
2025-08-12 00:48:26,059 - INFO - ✅ Chunk 100 into 'purchases' → Rows: 10000, Mem: 145.56 MB
2025-08-12 00:48:26,195 - INFO - ✅ Chunk 101 into 'purchases' → Rows: 10000, Mem: 145.49 MB
2025-08-12 00:48:26,327 - INFO - ✅ Chunk 102 into 'purchases' → Rows: 10000, Mem: 145.5 MB
2025-08-12 00:48:26,460 - INFO - ✅ Chunk 103 into 'purchases' → Rows: 10000, Mem: 145.43 MB
